"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target (del)","Target Pathogen (del)","Serovar subtype","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001Ll52i","a266900000Akg9l","29.10.2021","United Kingdom","Europe","techne.com/index.asp","Cole-Parmer","QPCR Kit, RNA, Tai Forest ebolavirus","Ebola fever","Ebola virus","Tai Forest ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001U50yu","a266900000AWMlr","21.10.2022","Belgium","Europe","corisbio.com","Coris BioConcept","EBOLA Ag K-SeT","Ebola fever","Ebola virus","Zaire ebolavirus","Validation","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U5177","a266900000AWMls","21.10.2022","Japan","Western Pacific","denka-seiken.com","Denka Seiken Co., ltd.","QuickNavi-EBOLA","Ebola fever","Ebola virus","Bundibugyo ebolavirus; Tai Forest ebolavirus; Zaire ebolavirus","Regulatory Status Unknown","Unknown","Immunoassay","Antigen","EBOV Nucleotide protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Whole Blood; Other","10.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll52o","a266900000AkgAr","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens FiloA-screen-FRT PCR kit variant FRT-L","Ebola fever","Ebola virus","Sudan ebolavirus; Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","Other","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","72","","72","","",""
"a0B6900001Ll52o","a266900000AkgAt","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens FiloA-screen-FRT PCR kit variant FRT-L","Ebola fever","Ebola virus","Sudan ebolavirus; Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","Other","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","30","0","30","","",""
"a0B6900001Ll52p","a266900000AkgAu","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens EBOV Zaire 1-FRT PCR kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","EBOV L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Urine; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","95.00","95.00","48","52","100","","",""
"a0B6900001Ll52p","a266900000AkgAv","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens EBOV Zaire 1-FRT PCR kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","EBOV L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Urine; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","93.00","97.00","29","71","100","","",""
"a0B6900001Ll52p","a266900000AkgAw","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens EBOV Zaire 1-FRT PCR kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","EBOV L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Urine; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","93.00","96.00","34","66","100","","",""
"a0B6900001Ll52p","a266900000AkgAx","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens EBOV Zaire 1-FRT PCR kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","EBOV L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Urine; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","94.00","95.00","43","57","100","","",""
"a0B6900001Ll52p","a266900000AkgAy","29.10.2021","Czech Republic","Europe","pcrdiagnostics.eu","Ecoli Dx, s.r.o.","AmpliSens EBOV Zaire 1-FRT PCR kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","EBOV L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Urine; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
